nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau,dmod
2.0000e+03,1.0000e+00,1.0000e+00,1.9960e-01,3.6364e+05,3.6363e+05,-1.9980e-03,3.6363e+05,1.1750e-01,6.9097e+00,inf,3.1941e+03,-4.5959e-01,-5.4835e-01,4.9280e+00,1.0791e+00,2.2716e+01
2.0000e+03,2.0000e+00,1.0000e+00,3.9841e-01,3.6666e+05,3.6665e+05,-3.9960e-03,3.6665e+05,1.1751e-01,6.9118e+00,5.5569e+05,3.2009e+03,1.3455e-01,-8.1674e-01,4.6519e+00,9.1885e-01,2.2761e+01
2.0000e+03,3.0000e+00,1.0000e+00,5.9642e-01,3.6777e+05,3.6777e+05,-5.9940e-03,3.6777e+05,1.1753e-01,6.9137e+00,5.5268e+05,3.2079e+03,-3.8355e-01,-6.3901e-01,4.8203e+00,1.1283e+00,2.3637e+01
2.0000e+03,4.0000e+00,1.0000e+00,7.9365e-01,3.6933e+05,3.6932e+05,-7.9920e-03,3.6932e+05,1.1755e-01,6.9157e+00,5.5156e+05,3.2137e+03,-4.2640e-01,-5.6177e-01,4.7899e+00,4.2860e-01,2.3865e+01
2.0000e+03,5.0000e+00,1.0000e+00,9.9010e-01,3.6975e+05,3.6975e+05,-9.9900e-03,3.6975e+05,1.1757e-01,6.9177e+00,5.5001e+05,3.2198e+03,-1.1027e-01,-7.9221e-01,4.5004e+00,1.8708e+00,2.2832e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.1858e+00,3.7118e+05,3.7117e+05,-1.1988e-02,3.7117e+05,1.1758e-01,6.9197e+00,5.4958e+05,3.2257e+03,-3.3858e-01,-9.8160e-01,4.4519e+00,9.7852e-01,2.3512e+01
2.0000e+03,7.0000e+00,1.0000e+00,1.3807e+00,3.7175e+05,3.7174e+05,-1.3986e-02,3.7174e+05,1.1760e-01,6.9217e+00,5.4816e+05,3.2328e+03,-4.6090e-01,-9.0727e-01,4.5480e+00,1.4284e+00,2.4177e+01
2.0000e+03,8.0000e+00,1.0000e+00,1.5748e+00,3.7237e+05,3.7237e+05,-1.5984e-02,3.7237e+05,1.1762e-01,6.9237e+00,5.4758e+05,3.2387e+03,1.0429e-01,-5.1573e-01,4.5067e+00,1.3026e+00,2.3318e+01
2.0000e+03,9.0000e+00,1.0000e+00,1.7682e+00,3.7295e+05,3.7294e+05,-1.7982e-02,3.7294e+05,1.1763e-01,6.9257e+00,5.4696e+05,3.2447e+03,1.3452e-01,-5.2667e-01,4.6102e+00,1.8854e+00,2.3825e+01
2.0000e+03,1.0000e+01,1.0000e+00,1.9608e+00,3.7298e+05,3.7297e+05,-1.9980e-02,3.7297e+05,1.1765e-01,6.9277e+00,5.4639e+05,3.2516e+03,-1.3771e-01,-8.7467e-01,4.8578e+00,2.3450e-01,2.6059e+01
2.0000e+03,1.1000e+01,1.0000e+00,2.1526e+00,3.7387e+05,3.7387e+05,-2.1978e-02,3.7387e+05,1.1767e-01,6.9297e+00,5.4636e+05,3.2576e+03,-4.9339e-01,-3.8030e-01,4.6495e+00,1.7795e+00,2.3933e+01
2.0000e+03,1.2000e+01,1.0000e+00,2.3438e+00,3.7418e+05,3.7417e+05,-2.3976e-02,3.7417e+05,1.1768e-01,6.9317e+00,5.4546e+05,3.2635e+03,-4.8951e-01,-3.9102e-01,4.9543e+00,1.8704e+00,2.5523e+01
2.0000e+03,1.3000e+01,1.0000e+00,2.5341e+00,3.7468e+05,3.7468e+05,-2.5974e-02,3.7468e+05,1.1770e-01,6.9337e+00,5.4515e+05,3.2693e+03,2.3054e-01,-2.4578e-01,4.6667e+00,3.9785e-01,2.3715e+01
